4ABH100C2606BH,"1-8 X 26'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=26.00''     T=6.00''     T=2.00'' w/DH HVY HEX NUT TACKED 
INCLUDES:
1)4NUT100NCDBDOM----1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C2606BH-N,1-8 x 26'' HEADED ANCHOR BOLT PLAIN 1554-55    T=6.00''    T=3.00'' TWO HHN ASSEMBLED ONLY,4ABH
4ABH100C2606BH-NP,"1-8 X 26'' HEADED ANCHOR BOLT PLAIN 1554-55 PLAIN
L=26.00''     T=6.00''     T=3.00'' w/2 DH NUTS AND PLATE WASHER TACKED
INCLUDES:
2) 1'' DH NUTS
1) 5/8'' X 3'' PLATE WASHER",4ABH
4ABH100C2606BH-NW,"1-8 X 26'' HEADED ANCHOR BOLT PLAIN 1554-55
L=26.00''     T=6.00''     T=3.00'' w/ 2 HVY HEX NUTS & PLATE WASHER TACKED

INCLUDES:
1) 1-8 HVY HEX NUTS
1) 5/8 X 3-1/2 X 3-1/2 PLATE WASHER",4ABH
4ABH100C2606BH-P,"1-8 X 26'' HEADED ANCHOR BOLT PLAIN 1554-55
L=26.00''     T=8.00''     T=3.00'' w/DH NUT & PLATE WASHER TACKED
INCLUDES:
1) 1-8 DH NUT
1) 3/8 X 3 X 3 PLATE WASHER",4ABH
4ABH100C2606GH,1-8 x 26-1/2'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    T=8.00''     T=2.00'' HHN TACKED,4ABH
4ABH100C2608BH-P,"1-8 X 26'' HEADED ANCHOR BOLT PLAIN 1554-55
L=26.00''     T=6.00''     T=2.00'' DH NUT & PLATE WASHER TACKED 
 INCLUDES:
1) 1-8 DH NUT
1) 3/8'' X 3'' PLATE WASHER",4ABH
4ABH100C2608BH-W,"1-8 X 26'' HEADED ANCHOR BOLT PLAIN 1554-55
L=26.00''     T=6.00''     T=2.00'' DH NUT & WASHER TACKED 
 INCLUDES:
2) 4NUT100NCDBDOM 1-8 DH NUT
1) 1'' USS FLAT WASHER",4ABH
4ABH100C2609GH,"1-8 X 26'' HEADED ANCHOR BOLT HDG 1554-55
L=26.00''     T=9.00''     T=2.00'' w/ DH HVY HEX TACKED
INCLUDES:
(1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT 
     (FOR ABOVE TACK)",4ABH
4ABH100C2626GH-W,1-8 x 26'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    HHN & FW TACKED,4ABH
4ABH100C2705B105,"1-8 X 27'' HEADED ANCHOR BOLT PLAIN 1554-105
L=27.00''     T=5.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
    {FOR ABOVE TACK}",4ABH
4ABH100C2705GH,"1-8 X 27'' HEADED ANCHOR BOLT  HDG  1554-55
L=27.00''           T=5.00''          T=5.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C2708BH,1-8 x 27'' HEADED ANCHOR BOLT PLAIN 1554-55    T=8.00''    T=2.00'' HHN TACKED,4ABH
4ABH100C2708BH-N,"1-8 X 27'' HEADED ANCHOR BOLT PLAIN 1554-55
L=27.00''     T=8.00''     T=3.00'' w/2 DH HVY HEX NUTS TACKED
INCLUDES:
2)4NUT100NCDBDOM -- 1'' DH HVY HEX NUTS 
     (FOR ABOVE TACK)",4ABH
4ABH100C2805GH-W,"1-8 X 28'' HEADED ANCHOR BOLT HDG 1554-55
L=28.00''     T=6.00''     T=2.00'' w/DH NUT AND F436 WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH NUT
1)4WAS100STB - F436 WASHER",4ABH
4ABH100C2806BH,"1-8 X 28'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=28.00''         T=6.00''       T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C2806BH-N,1-8 x 28'' HEADED ANCHOR BOLT PLAIN 1554-55    T=6.00''    T=3.00'' TWO HHN TACKED,4ABH
4ABH100C2806GH,"1-8 X 28'' HEADED ANCHOR BOLT HDG 1554-55
L=28.00''     T=6.00''     T=2.00'' w/ HVY HEX NUT TACKED",4ABH
4ABH100C2806GH5-NP,"1-8 X 28'' HEADED ANCHOR BOLT  HDG  1554-105
L=28.00''      T=6.00''      T=3.00'' w/(2)DH HVY HEX NUTS AND PLATE WASHER TACKED
INCLUDES:
2) 4NUT100NCDBOM - 1'' DH HVY HEX NUT
1) 4PLT07503000300BH - 3/4 X 3'' X 3'' PLATE WASHER
     (FOR ABOVE TACK)",4ABH
4ABH100C2807BH-P,"1-8 X 28'' HEADED ANCHOR BOLT PLAIN 1554-55
L=28.00''     T=7.50''     T=3.00'' w/DH HVY HEX NUT & PLATE WASHER TACKED
INCLUDES:
1) 1-8 DH HVY HEX NUT
1) 3/8'' X 2 1/2'' X 2 1/2'' PLATE WASHER
     (FOR ABOVE TACK)",4ABH
4ABH100C28086B105,"1-8 X 28'' HEADED ANCHOR BOLT  PLAIN  1554-105
L=32.00      T=8.00      T=3.00  w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C2808BH-105,"1-8 X 28'' HEADED ANCHOR BOLT PLAIN 1554-105
L=28.00''     T=8.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
    (FOR ABOVE TACK)",4ABH
4ABH100C2808BH-NW,"1-8 X 28'' HEADED ANCHOR BOLT PLAIN 1554-55
L=28.00''     T=8.00''     T=3.00'' w/(2)DH HVY HEX NUT TACKED & (1) USS WASH TACKED
INCLUDES:
(2)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
(1)4WAS100USB - 1'' USS FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C2808BH-P,"1-8 X 28'' HEADED ANCHOR BOLT PLAIN 1554-55
L=28.00''     T=8.00''     T=2.00'' w/DH NUT AND PLATE WASHER TACKED
INCLUDES:
1) 1'' DH NUT
1) 3/8'' X 3'' PLATE WASHER",4ABH
4ABH100C2808BH-W,"1-8 X 28'' HEADED ANCHOR BOLT PLAIN 1554-55
L=28.00''       T=8.00''      T=3.00'' w/DH HVY HEX NUT & FLAT WASHER TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
(1)4WAS100STB -- 1'' F436 FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C2808GH,"1-8 X 28'' HEADED ANCHOR BOLT  HDG  1554-55
L=28.00''         T=8.00''         T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
     (FOR ABOVE TACK)",4ABH
4ABH100C2809GH-W,1-8 x 28-1/4'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55 S1     T=10.00''     T=3.00'' HHN & USS FW TACKED,4ABH
4ABH100C2908BH,1-8 x 29'' HEADED ANCHOR BOLT PLAIN 1554-55    T=8.00''    T=2.00'',4ABH
4ABH100C2909BH,"1-8 X 29'' HEADED ANCHOR BOLT PLAIN 1554-55
L=29.00''     T=9.50''     T=2.00''",4ABH
4ABH100C3005BH-P,1-8 x 30'' HEADED ANCHOR BOLT PLAIN 1554-55     T=8.00''      T=3.00'' HVY HEX NUT & PLATE TACKED  ( 3/8 x 3'' SQ ),4ABH
4ABH100C3006BH-NP,"1-8 x 30'' HEADED ANCHOR BOLT PLAIN 1554-55    T=6.00''    T=3.00 TWO HHN & PLATE WASHER TACKED

3/8 x 3'' SQUARE PLATE",4ABH
4ABH100C3006BH-NW,"1-8 X 30'' HEADED ANCHOR BOLT PLAIN 1554-55
L=30.00''     T=9.00''     T=6.00'' w/2 DH NUTS AND PLATE WASHER TACKED
INCLUDES:
2) 1-8 DH HVY NUTS
1) 1/2'' PLATE WASHER",4ABH
4ABH100C3006BH-P,"1-8 X 30'' HEADED ANCHOR BOLT PLAIN 1554-55
L=30.00''     T=6.00''     T=3.50'' w/DH HVY HEX NUT & PLATE WASHER TACKED
INCLUDES:
1) 1-8 DH HVY HEX NUT
1) 3/8'' X 3'' X 3'' PLATE WASHER
     (FOR ABOVE TACK)",4ABH
4ABH100C3008BH,"1-8 X 30'' HEADED ANCHOR BOLT PLAIN 1554-105  
L=30.00''     T=8.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT   
    (FOR ABOVE TACK)",4ABH
4ABH100C3008BH-P,"1-8 X 30'' HEADED ANCHOR BOLT PLAIN 1554-55
L=30.00''     T=8.00''     T=3.00'' w/DH HVY HEX NUT & PLATE WASHER TACKED
INCLUDES:
1) 1-8 DH HVY HEX NUT
1) 3/8'' X 3'' X 3'' PLATE WASHER
     (FOR ABOVE TACK)",4ABH
4ABH100C3008BH-W,"1-8 X 30'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=30.00''     T=8.00''     T=2.00'' w/DH HVY HEX NUT & FLAT WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
1)4WAS100USB -- 1'' FLAT WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C3008GH,"1-8 X 30'' HEADED ANCHOR BOLT  HDG  1554-55  
L=30.00''     T=8.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT   
    (FOR ABOVE TACK)",4ABH
4ABH100C3009BH,"1-8 X 30'' HEADED ANCHOR BOLT PLAIN 1554-55  
L=30.00''     T=9.00''     T=4.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT   
    (FOR ABOVE TACK)",4ABH
4ABH100C3009BH-NP,"1-8 X 30'' HEADED ANCHOR BOLT PLAIN 1554-55
L=30.00''     T=9.00''     T=6.00'''' w/2 DH HVY HEX NUTS & PLATE WASHER TACKED
INCLUDES:
2) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUTS
1) 4PLT05005000500BH -- 1/2 X 5'' X 5'' PLATE WASHER
     (FOR ABOVE TACK)",4ABH
4ABH100C3012BH,"1-8 X 30'' HEADED ANCHOR BOLT   PLAIN 1554-55  
L = 30.00''     T = 12.00''      T=8.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT   
    (FOR ABOVE TACK)",4ABH
4ABH100C3104GH-W,"1-8 X 31'' HEADED ANCHOR BOLT HDG 1554-55
L=31.00''     T=4.50''     T=2.00''  w/HVY NUT & WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM - 1-8 DH NUT
1) 4WAS100USB - 1'' USS FW",4ABH
4ABH100C3107B2,"1-8 X 31'' HEADED ANCHOR BOLT  PLAIN  1554-55  
L=31.00''     T=7.50''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1) 4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
    (FOR ABOVE TACK)",4ABH
4ABH100C3206GH,"1-8 X 32'' HEADED ANCHOR BOLT  HDG  1554-55
L=32.00''     T=6.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
    (FOR ABOVE TACK)",4ABH
4ABH100C3206GH-NP,"1-8 X 32'' HEADED ANCHOR BOLT HDG 1554-55
L=32.00''     T=6.00''     T=4.00'' w/2 DH NUTS & PLATE WASHER TACKED
INCLUDES:
2) 4NUT100NCDBDOM -- 1-8 DH NUTS
1) 4PLT06203000300 -- 5/8'' X 3.00'' X 3.00'' PLATE WASHER
     (FOR ABOVE TACK)",4ABH
4ABH100C32086B105,"1-8 X 32'' HEADED ANCHOR BOLT  PLAIN  1554-105
L=32.00      T=8.00      T=3.00  w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C3208BH,"1-8 X 32'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=32.00      T=8.00      T=3.00  w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C3208BH-P,"1-8 X 32'' HEADED ANCHOR BOLT PLAIN 1554-55
L=32.00''     T=8.00''     T=2.00'' w/DH HVY HEX NUT & PLATE WASHER TACK WELDED
INCLUDES:
1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
1) 3/8 X 3.00'' X 3.00'' PLATE WASHER
    (FOR ABOVE WELD)",4ABH
4ABH100C3208GH,"1-8 X 32'' HEADED ANCHOR BOLT HDG 1554-55  
L = 32.00''     T = 8.00''      T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT",4ABH
4ABH100C3304GH-W,"1-8 X 33.00'' HEADED ANCHOR BOLTS, 1554-55 STEEL, HDG
T= 3.50'' (W/ ONE HVY HEX NUT AND ONE PLT WASHER WELDED)
T= 4.00''

PER PRINT",4ABH
4ABH100C3306BH,"1-8 X 33'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=33.00''      T=8.00''      T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
    (FOR ABOVE TACK)",4ABH
4ABH100C3306BH-NP,"1-8 X 33'' HEADED ANCHOR BOLT PLAIN 1554-55
L=33.00''     T=6.00''     T=3.50'' w/(2) DH HVY HEX NUTS TACKED
INCLUDES:
2) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUTS
    (FOR ABOVE TACK)",4ABH
4ABH100C3307BH-P,"1-8 X 33'' HEADED ANCHOR BOLT PLAIN 1554-55
L=33.00''     T=7.00''     T=3.00'' w/DH NUT & PLATE WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
1) 3/8 X 3.00'' X 3.00'' PLATE WASHER
    (FOR ABOVE WELD)",4ABH
4ABH100C3308GH,"1-8 X 33'' HEADED ANCHOR BOLT  HDG  1554-55
L=33.00''         T=8.00''          T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C3403GH,"1-8 X 34'' HEADED ANCHOR BOLT HDG 1554-55
L=34.00''     T=3.00''     T=3.00'' w/DH NUT TACK WELDED

INCLUDES:
1) 4NUT100NCDBDOM - 1'' DH NUT",4ABH
4ABH100C3405GH,"1-8 x 34'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    T=5.00''    T=2.00'' HHN TACKED

SHIPPED DIRCT TO CUSTOMER - PREPAID FRT",4ABH
4ABH100C3406BH,"1-8 X 34'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=32.00''     T=6.00''      T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C3408BH-N,"1-8 X 34'' HEADED ANCHOR BOLT PLAIN 1554-55
L=34.00''     T=8.00''     T=2.00'' w/2 HVY HEX NUTS TACKED
INCLUDES:
2)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUTS
   (FOR ABOVE TACK)",4ABH
4ABH100C3408BH-NP,"1-8 X 34'' HEADED ANCHOR BOLT PLAIN 1554-55
L=34.00''     T=8.00''     T=2.00'' w/2 DH NUTS AND PLATE WASHER TACKED
INCLUDES:
2) 1-8 DH HVY HEX NUTS
1) 3/4'' X 4'' X 4'' PLATE WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C3408BH-P,"1-8 X 34'' HEADED ANCHOR BOLT PLAIN 1554-55
L=34.00''     T=8.00''     T=2.00'' w/DH NUT AND PLATE WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
1)4PLTWAS0373X3106B -- 3/8'' X 3'' PLATE WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C3408BH-W,"1-8 X 34'' HEADED ANCHOR BOLT PLAIN 1554-55
L=34.00''     T=8.00''     T=2.00'' w/HVY HEX NUT AND F436 WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
1)4WAS100STB -- 1'' F436 WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C3408GH-W,"1-8 X 34'' HEADED ANCHOR BOLT HDG A449
L=34.00''     T=8.00''     T=2.00'' w/HVY HEX NUT AND F436 WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
1)4WAS100STB -- 1'' F436 WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C3409BH,"1-8 X 34'' HEADED ANCHOR BOLT PLAIN 1554-55
L=34.00''     T=9.00''     T=2.00 w/DH HVY HEX NUT TACKED
INCLUDES:
(1) 4NUT100NCDBDOM---- 1-8 DH HVY HEX NUT
     (FOR ABOVE TACK)",4ABH
4ABH100C3410BH,"1-8 X 34'' HEADED ANCHOR BOLT PLAIN 1554-55
L=34.00''     T=10.00''     T=2.00'' w/HVY HEX NUT TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C3509BH,"1-8 X 35'' HEADED ANCHOR BOLT PLAIN 1554-55
L=35.00''     T=9.00''     T=2.00''  w/DH NUT TACKED
INCLUDES:
1)4NUT100NCDBDOM  1-8 DH NUT  
   (FOR ABOVE TACK)",4ABH
4ABH100C3604BH,"1-8 X 36'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=36.00''      T=4.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C3606BH-NP,1-8 x 36'' HEADED ANCHOR BOLT PLAIN 1554-55    T=6.00''    T=3.00'' TWO HHN AND PLATE TACKED,4ABH
4ABH100C3606BH-W,"1-8 X 36'' HEADED ANCHOR BOLT PLAIN 1554-55
L=36.00''      T=6.00''      T=2.00'' w/DH HVY HEX NUT & FLAT WASHER TACKED
INCLUDES:
1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
1) 4WAS100USB -- 1'' FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C3606GH-NWW,1-8 x 36'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    T=6.00''    T=2 1/2'' TWO HHN AND TWO FW TACKED,4ABH
4ABH100C3607BH-N,"1-8 X 36'' HEADED ANCHOR BOLT PLAIN 1554-55
L=36.00''     T=7.50''     T=3.00'' w/2 DH HVY HEX NUTS TACKED
INCLUDES:
2)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C3608BH,"1-8 X 36'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=36.00''      T=8.00''      T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1) 4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT 
     (FOR ABOVE TACK)",4ABH
4ABH100C3608BH-P,"1-8 X 36'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=36.00''           T=8.00''    T=2.00'' w/DH HVY HEX NUT & PLATE WASHER TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
(1)4PLTWAS0503X3106B -- 1/2'' X 3.00'' X 3.00'' PLATE WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C3608BH-S1,"1-8 X 36'' HEADED ANCHOR BOLT PLAIN 1554-55 w/ S1 SUPPLEMENT
L=36.00''           T=8.00''         T=2.00'' w/DH HVY HEX NUT TACKED
INLCUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
     (FOR ABOVE TACK)",4ABB
4ABH100C3608BH-W,1-8 x 36'' HEADED ANCHOR BOLT PLAIN 1554-55    T=8.00''    T=2.00'' w/DH HVY HEX NUT & WASHER TACKED,4ABH
4ABH100C3608DOM-W,"1-8 X 36'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=36.00''       T=8.00''       T=2.00'' w/DH HVY HEX NUT & FLAT WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
1)4WAS100USB -- 1'' FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C3608G2,"1-8 X 36'' HEADED ANCHOR BOLT  HDG  1554-55
L=36.00''      T=8.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C3608GH,"1-8 X 36'' HEADED ANCHOR BOLT  HDG  1554-55    
L=36.00''       T=8.00''      T=2.00'' w/DH HVY HEX NUT & FLAT WASHER TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT
(1)4WAS100USB -- 1'' FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C3609BH,"1-8 X 38'' HEADED ANCHOR BOLT PLAIN 1554-55
L=38.00''     T=10.00''     T=2.00 w/DH HVY HEX NUT TACKED
INCLUDES:
(1) 4NUT100NCDBDOM---- 1-8 DH HVY HEX NUT
     (FOR ABOVE TACK)",4ABH
4ABH100C3610BH,"1-8 X 36'' HEADED ANCHOR BOLT PLAIN 1554-55
L=36.00''     T=10.00''     T=2.00'' w/DH NUT TACKED
INCLUDES: 
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C3636SSCOIL,"1-3 1/2 X 36'' COIL THREAD HEADED ANCHOR BOLT 304 SS
L=36.00''     T=36.00''     w/SS COIL NUT TACKED
INLCUDES:
(1)4NUT100COS -- 1'' SS COIL NUT
     (FOR ABOVE TACK)",4ABB
4ABH100C3706BH,1-8 x 37'' HEADED ANCHOR BOLT PLAIN 1554-55    T=6.00''     T=1.00'' HHN TACKED,4ABH
4ABH100C3809BH,"1-8 X 38'' HEADED ANCHOR BOLT PLAIN 1554-55
L=38.00''     T=8.00''     T=2.00 w/DH HVY HEX NUT TACKED
INCLUDES:
(1) 4NUT100NCDBDOM---- 1-8 DH HVY HEX NUT
     (FOR ABOVE TACK)",4ABH
4ABH100C3810BH,1-8 x 38'' HEADED ANCHOR BOLT PLAIN 1554-55    T=10.00''     T=2.00 HVY HEX NUT TACKED,4ABH
4ABH100C3907BH,"1-8 X 39'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=39.00''     T=7.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C3908BH,"1-8 X 39'' HEADED ANCHOR BOLT PLAIN 1554-55
L=39.00''     T=8.00''     T=2.00'' w/DH NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT",4ABH
4ABH100C3939B5-NP,"1-8 X 39.50'' HEADED ANCHOR BOLT PLAIN 1554-105
L=39.50''     T=39.50'' w/2 DH NUTS AND PLATE WASHER TACKED
INCLUDES:
2)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
1)3/8 X 4'' X 4'' PLATE WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C4004BH,"1-8 X 40.00'' HEADED ANCHOR BOLTS, 1554-55 STEEL, PLAIN FINISH
T= 4.00''     T= 1.00'' W/ ONE HVY HEX NUT TACK WELD",4ABH
4ABH100C4005BH-W,"1-8 X 40.50'' HEADED ANCHOR BOLT PLAIN 1554-55
L=40.50''     T=5.00''      T=2.00'' w/DH HVY HEX NUT & FLAT WASHER TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
(1)4WAS100USB -- 1'' FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C4006BH-W,"1-8 X 40'' HEADED ANCHOR BOLT PLAIN 1554-55
L=40.00''     T=6.00''     T=2.00'' w/DH HVY HEX NUT AND FLAT WASHER TACKED
INCLUDES:
1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
1)4WAS100USB -- 1'' FLAT WASHER
    (FOR ABOVE TACK)",4ABH
4ABH100C4008B105,"1-8 X 40'' HEADED ANCHOR BOLT PLAIN 1554-105
L=40.00''     T=8.00''      T=2.00'' w/DH HVY HEX  NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM---1-8 DH HVY HEX NUT
    (FOR ABOVE TACK)",4ABH
4ABH100C4008BH,"1-8 X 40'' HEADED ANCHOR BOLT  PLAIN  1554-55 
L=40.00      T=8.00      T=2.00 w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM - 1'' DH HVY HEX NUT
     (FOR ABOVE TACK)",4ABH
4ABH100C4040BH105-NP,"1-8 X 40'' HEADED ANCHOR BOLT PLAIN 1554-105
L=40.00''     T=40.00'' w/2 DH NUTS AND PLATE WASHER TACKED
INCLUDES:
2) 1-8 DH HVY HEX NUT
1) 3/8 X 4 X 4 PLATE WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C4040BH-NP,"1-8 X 40'' HEADED ANCHOR BOLT PLAIN 1554-55
L=40.00''     T=40.00'' w/2 DH NUTS AND PLATE WASHER TACKED
INCLUDES:
2) 1-8 DH HVY HEX NUT
1) 3/8 X 4 X 4 PLATE WASHER
   (FOR ABOVE TACK)",4ABH
4ABH100C4205BH,"1-8 X 42'' HEADED ANCHOR BOLT PLAIN 1554-55    
T=6.00''    T=3.50'' DH HVY HEX NUT TACKED",4ABH
4ABH100C4206BH,1-8 X 42'' HEADED ANCHOR BOLT PLAIN 1554-55    T=6.00''    T=2.00'' HVY HEX NUT TACKED,4ABH
4ABH100C4207GH,"1-8 x 42'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    T=7.00''      T=2.00'' HHN TACKED

SHIP DIRECT FROM H.D.G. TO CUSTOMER",4ABH
4ABH100C4208BH,"1-8 X 42'' HEADED ANCHOR BOLT  PLAIN  1554-55    
L=42.00''        T=8.00''      T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
(1)4NUT100NCDBDOM -- 1'' DH HVY HEX NUT 
    (FOR ABOVE TACK)",4ABH
4ABH100C4210BH,"1-8 X 42'' HEADED ANCHOR BOLT PLAIN 1554-55
L=42.00''     T=10.00''     T=2.00'' w/DH NUT TACKED
INCLUDES: 
1)4NUT100NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
4ABH100C4307BH,1-8 x 43-1/2'' HEADED ANCHOR BOLT PLAIN 1554-55    T=7.00''     T=2.00'' HHN TACKED,4ABH
4ABH100C4406BH,"1-8 X 44'' HEADED ANCHOR BOLT  PLAIN  1554-55
L=44.00''     T=6.00''     T=2.00'' w/DH HVY HEX NUT TACKED
INCLUDES:
1)4NUT075NCDBDOM -- 1-8 DH HVY HEX NUT
   (FOR ABOVE TACK)",4ABH
