410180680276,.680 CR 1018 (3/4-10) X 23' ROUND .679-.682,4MAT
410180680288,.680 (3/4-10) X 24' ROUND C1018 .679-.682,4MAT
410180680COIL,.680 CR 1018 (5/8-11) X COIL .677-.681,4MAT
410180706144,.706 CR 1018 (3/4-16) X 12' ROUND .704-.707,4MAT
410180708240,.708 X 20' CR1018 ROUND,4MAT
410180733234,.733 CR 1018 (3/4-10) X 234'' ROUND .731-.735,4MAT
410180750036HEX,"3/4 X 36.00'' C1018 COLD FINISHED HEX
(SAW FROM 12' BARS FOR LOADING IN CNC TURNING CENTER)",4MAT
410180750144HEX,3/4 X 12' C1018 COLD FINISHED HEX BAR,4MAT
410180750240,3/4'' CR 1018 X 20' ROUND,4MAT
410180775144,.775 CR 1018 (7/8-6 ACME) X 12' +.000/-.005,4MAT
410180799144,.799 CR 1018 (7/8-9) X 12' ROUND .794-.800,4MAT
410180799208,.799 CR 1018 (7/8-9) X 208''  ROUND .796-.800   -/0 +/2 on Length,4MAT
410180799214,".799 CR 1018 (7/8-9) X 214''  ROUND .796-.800
 -/0 +/2 on Length",4MAT
410180799232,.799 CR 1018 (7/8-9) X 19'-4'' ROUND .796 - .800,4MAT
410180799240,.799 CR 1018 (7/8-9) X 20' ROUND .796 - .800,4MAT
410180812240,.812 CR(13/16) 1018 ROUND,4MAT
410180826144,.826 CR 1018 (7/8-14UNF)  X 12' ROUND +.000/-.002,4MAT
410180865144,.865 1018  (1-4 ACME) x 12' ROUND +.000/-.003,4MAT
410180865168,.865 1018  (1-4 ACME) x 14' ROUND +.000/-.003,4MAT
410180870036HEX,"7/8 X 36.00'' C1018 COLD FINISHED HEX
(SAW FROM 12' LENGTHS FOR LOADING INTO CNC TURNING CENTER)",
410180870144HEX,7/8 X 12' C1018 COLD FINISHED HEX BAR,4MAT
410180875240,7/8 X 20' C1018 ROUND,4MAT
410180885096,.885 CR 1018 (1-5 ACME) X 8' ROUND .883-.886,4MAT
410180885144,.885 CR 1018 (1-5 ACME) X 12' ROUND .883-.886,4MAT
410180885240,.885 CR 1018 (1-5 ACME) X 20' ROUND .883-.886,4MAT
